iteration,gradient_norm_on_full_trainset_avg,loss_on_full_trainset_avg
0,0.33045151259903954,0.6926128972395629
1,0.3297778931688393,0.6917878171958033
2,0.3289247130547756,0.6907451777689003
3,0.3280970306531891,0.689735969815473
4,0.3272308572110524,0.6886824183788793
5,0.3264147921524141,0.6876920136338134
6,0.32558099351170444,0.686682425325194
7,0.32474439365804925,0.685671820848788
8,0.3239405568700526,0.6847028984752452
9,0.32314706778822666,0.6837485303164124
10,0.32234821723601137,0.6827898649411094
11,0.32157710840536863,0.6818663406814116
12,0.32080256074749625,0.6809406991565349
13,0.3200464069365992,0.6800388064416054
14,0.31933321437763157,0.6791899672239919
15,0.3185831176819819,0.6782987360753181
16,0.3178571300839518,0.6774380264505012
17,0.31714577383689707,0.67659619114147
18,0.3164298140348502,0.6757504970607102
19,0.31574806851199355,0.6749467017029178
20,0.3150522389640018,0.6741277605265807
21,0.31442848636670473,0.6733949030560201
22,0.31378583897194706,0.6726409508623045
23,0.3131593920456307,0.67190723992334
24,0.3125406376264086,0.6711838592114747
25,0.31193315704505875,0.6704746373992803
26,0.3113304415392761,0.6697721327342946
27,0.31075713825445617,0.6691048489944271
28,0.3101892574453884,0.6684449422726846
29,0.30966219195735856,0.6678333147847524
30,0.30911279813358794,0.6671967038383337
31,0.308575710463161,0.6665751724021162
32,0.3080842894606203,0.6660072459508272
33,0.30758802423658316,0.6654342921939556
34,0.3070935823660593,0.6648641834560015
35,0.3066336747918177,0.6643344984243824
36,0.30617146064551326,0.6638027965765236
37,0.30572856146103067,0.663293900923499
38,0.3052944084349749,0.6627956498933393
39,0.30487864117357666,0.6623189807567149
40,0.30445096968172863,0.6618290759586735
41,0.30405725084495794,0.6613785283101744
42,0.30368860629977124,0.6609571190589645
43,0.3032913492984306,0.6605034790296265
44,0.30292405367100955,0.6600843871777732
45,0.3025589287498161,0.6596681644717617
46,0.3021873951583666,0.6592450867174581
47,0.3018407833885751,0.6588506481187413
48,0.3014907049660836,0.6584525835779935
49,0.3011696325259709,0.6580877835354342
50,0.3008443924323704,0.6577185917412103
51,0.3005116845130106,0.6573411421580317
52,0.3001872586904195,0.6569733916249454
53,0.29990121191090213,0.6566494189849492
54,0.2996109508254249,0.6563208501710867
55,0.299312129879378,0.6559828361136137
56,0.2990121547907354,0.6556438424356708
57,0.29874626236829144,0.6553434795163947
58,0.2984712789865423,0.6550331300907387
59,0.29821481363391167,0.654743801941062
60,0.2979680928737476,0.6544656740617121
61,0.2977432504157469,0.6542123350896629
62,0.29748939653635065,0.6539264819898523
63,0.2972511767028153,0.6536584187194312
64,0.2970263205604592,0.6534055555697423
65,0.296821684495582,0.6531754216722379
