epoch,train_loss(total),test_loss(average),test_accuracy(average),grad_norm_per_epoch,consensus_per_epoch
1,1.9139542447196112,1.483184883594513,0.7749,0.0008647377253510058,0.03432698920369148
2,1.1503442075008001,0.8521949934959412,0.837,0.0008765511447563767,0.027348466217517853
3,0.7355474648185265,0.6031289467215538,0.8657,0.0007822624174878001,0.030985688790678978
4,0.566300560393904,0.4915527547895908,0.8812,0.0005892906920053065,0.03156519681215286
5,0.4819099180336691,0.42995365262031554,0.8906,0.0004464414669200778,0.03525293618440628
6,0.43100901266448516,0.39107812851667406,0.8969,0.0004639871185645461,0.033200010657310486
7,0.39699383805959654,0.3641123538836837,0.9015,0.0006200177012942731,0.023103492334485054
8,0.3727712689174546,0.3445319903455675,0.906,0.0004933964228257537,0.02396479807794094
9,0.3536304023084987,0.32924383418634534,0.9103,0.0005975226522423327,0.026661396026611328
10,0.3384622444327061,0.315547828450799,0.9118,0.00035822493373416364,0.02648427151143551
11,0.3262582358896223,0.30490002132952215,0.914,0.0003971303813159466,0.035498589277267456
12,0.3152565444127107,0.2961769634857774,0.9185,0.0004071367147844285,0.030955564230680466
13,0.3054326042596601,0.28734909258782865,0.9188,0.0005491770571097732,0.03134867176413536
14,0.2975567176173895,0.2815359710343182,0.9216,0.00045673298882320523,0.02988453395664692
15,0.28958941938785404,0.2739271302614361,0.9225,0.0006159686599858105,0.030913665890693665
16,0.28356831724572384,0.2684869750496,0.9254,0.00038058447535149753,0.022740283980965614
17,0.27637752924018943,0.263094044085592,0.9254,0.00032768151140771806,0.03415105491876602
18,0.2703055770606057,0.2577090073097497,0.9278,0.0005468529416248202,0.03297806531190872
19,0.2642929330468178,0.25234184177592395,0.9287,0.0005045980215072632,0.02776099182665348
20,0.25960396295492977,0.24870518679730594,0.9304,0.0005192679236643016,0.03749442845582962
21,0.2544688813897789,0.2440143004525453,0.9312,0.00037959590554237366,0.020902490243315697
22,0.2500619226987036,0.24028852118179203,0.9323,0.00028416866553016007,0.03501870483160019
23,0.24483443062720645,0.23507090750150383,0.9324,0.0006967190420255065,0.024790294468402863
24,0.24041311290019599,0.23170906798914076,0.9331,0.00048660964239388704,0.0361165814101696
25,0.2364885601350385,0.22808800145052374,0.9343,0.0004208452010061592,0.02860449068248272
26,0.23266618391578522,0.22529167030006647,0.9352,0.0005081383278593421,0.03635769337415695
27,0.22836420831517276,0.2223040000349283,0.9364,0.00043410525540821254,0.027948619797825813
28,0.22475124639259952,0.21795726544689387,0.9376,0.00039035509689711034,0.02385784313082695
29,0.22122496912558365,0.2154272283380851,0.9372,0.0003447933995630592,0.030519375577569008
30,0.21762687752707902,0.21223637545946986,0.9395,0.00038082097307778895,0.03858879581093788
31,0.21424781602735704,0.20969720518216492,0.94,0.00036544588510878384,0.02244686521589756
32,0.21155191267020682,0.2063570339558646,0.941,0.0004244855954311788,0.040654782205820084
33,0.20780343778877178,0.20371085725259036,0.941,0.0005223111365921795,0.025141814723610878
34,0.20483936227730706,0.20144182721618564,0.9418,0.00036273791920393705,0.029029423370957375
35,0.20180228868356118,0.1982557852147147,0.9434,0.000410942971939221,0.023089654743671417
36,0.19865390355897766,0.1957344267424196,0.9433,0.00041997211519628763,0.03453391417860985
37,0.19598923539185625,0.19350735089275986,0.944,0.0006467238417826593,0.028409544378519058
