epoch,train_loss(total),test_loss(average),test_accuracy(average),grad_norm_per_epoch,consensus_per_epoch
1,0.8001921763895331,2.462801733016968,0.4119,0.0030834688805043697,0.3880579471588135
2,0.3599439660036886,2.6376002764701845,0.4624,0.000860938394907862,0.20690274238586426
3,0.22041370739807953,2.6311540389060974,0.4668,0.00045158909051679075,0.0683775246143341
4,0.1690481955537925,2.6162696158885956,0.4702,0.0003271482128184289,0.0604294091463089
5,0.14989073398346836,2.509520744085312,0.4917,0.0003272333706263453,0.12733636796474457
6,0.13807656764480714,2.5140147590637207,0.5121,0.00029812828870490193,0.07337340712547302
7,0.13092398794518934,2.458697394132614,0.5383,0.00023854449682403356,0.056804873049259186
8,0.11811611066396172,2.4387923181056976,0.553,0.00028921797638759017,0.050124138593673706
9,0.1095614264140258,2.424925867319107,0.5612,0.00024480183492414653,0.06480025500059128
10,0.10408655056931279,2.3758155763149262,0.5747,0.0002931697526946664,0.07504909485578537
11,0.09733640395004202,2.354072229862213,0.5867,0.0002563543093856424,0.058650657534599304
12,0.0925000943369358,2.399394347667694,0.5819,0.00027952404343523085,0.039643120020627975
13,0.088821142282639,2.3868918907642365,0.5904,0.0002277456660522148,0.0870768204331398
14,0.09288292632413071,2.3360671389102934,0.6066,0.00038149618194438517,0.059327367693185806
15,0.08382903965743813,2.3195477819442747,0.6133,0.00024199490144383162,0.057069163769483566
16,0.07744929853298173,2.2985790181159973,0.6247,0.0002943615836557001,0.10532856732606888
17,0.07844402994708838,2.2844408893585206,0.6375,0.000290908181341365,0.10186435282230377
18,0.07307784294558538,2.319534411430359,0.6357,0.00039148840005509555,0.057595059275627136
19,0.07250158044484419,2.3108070254325868,0.6489,0.00030113509274087846,0.049934156239032745
20,0.06861516221652965,2.3055745267868044,0.6531,0.000265597045654431,0.048847246915102005
21,0.06806910285927556,2.2866626811027526,0.666,0.00025349549832753837,0.07115549594163895
22,0.0664970114940425,2.302615817785263,0.6648,0.0002518256660550833,0.056281063705682755
