epoch,train_loss(total),test_loss(average),test_accuracy(average),grad_norm_per_epoch,consensus_per_epoch
1,1.0113493087323937,2.4591921091079714,0.3433,0.0025173684116452932,0.007827791385352612
2,0.7200143619163616,2.6160444235801696,0.3781,0.001214893301948905,0.007291779853403568
3,0.5384227407945169,2.7122468900680543,0.4137,0.0010165375424548984,0.008946866728365421
4,0.4174389819035659,2.783427119255066,0.4386,0.000810912752058357,0.006408474873751402
5,0.3460078530416295,2.818106188774109,0.449,0.0006452695815823972,0.006464384030550718
6,0.3008578811344263,2.825134902000427,0.4539,0.000556166167370975,0.007854689843952656
7,0.27381547681383184,2.80337708234787,0.4583,0.0004559698572847992,0.009321262128651142
8,0.24596694866950447,2.7892303323745726,0.4594,0.00044392127892933786,0.00674120057374239
9,0.2270399123631619,2.7726888251304627,0.4617,0.00038397093885578215,0.007014572620391846
10,0.21427205451638312,2.7421810913085936,0.4632,0.0004338461731094867,0.007973741739988327
11,0.20241570623742566,2.716923863887787,0.4646,0.00038136105285957456,0.008406954817473888
12,0.19134957625253782,2.7033342266082765,0.4651,0.00035368523094803095,0.006378477904945612
13,0.18126182293368354,2.696890404224396,0.4662,0.00031304795993492007,0.007336463313549757
14,0.17904873715864644,2.669723000526428,0.4666,0.00031413917895406485,0.0081560667604208
15,0.17208143978102788,2.6500275683403016,0.4688,0.00030771607998758554,0.008015663363039494
16,0.16379811811084682,2.64252366065979,0.4716,0.00035495046176947653,0.009545912966132164
17,0.1597454491499308,2.6204092836380006,0.4783,0.0002967295004054904,0.008152204565703869
18,0.15351723310713833,2.619062349796295,0.4819,0.00038818269968032837,0.007033835165202618
19,0.15137099071934418,2.6011757004261016,0.4888,0.0003321398689877242,0.0068336185067892075
20,0.14755752446079576,2.593747181892395,0.4927,0.0003607124090194702,0.007221092935651541
21,0.14422261594115077,2.581684662103653,0.4996,0.000301972875604406,0.007712724152952433
22,0.1398813726028075,2.565447577238083,0.5071,0.00025028997333720326,0.009337392635643482
23,0.13648226185122858,2.5705124604701997,0.5094,0.00038366622175090015,0.008467313833534718
24,0.1358251034005268,2.5592690718173983,0.5152,0.00035852278233505785,0.006516197230666876
25,0.13231303527749874,2.5441460835933687,0.5205,0.0003371172642800957,0.009022117592394352
26,0.12957057248599627,2.540956598520279,0.5241,0.0002703388745430857,0.006782550364732742
27,0.12732162110104756,2.5209380316734316,0.5296,0.0002988303604070097,0.00806268211454153
28,0.12655972671770566,2.517087084054947,0.5339,0.0004012208082713187,0.006575547158718109
29,0.12228013844405478,2.509073257446289,0.5372,0.00027401206898503006,0.012837434187531471
30,0.12439587739975871,2.4951587772369384,0.5415,0.00036301175714470446,0.00723310699686408
31,0.11971794515596451,2.496239086389542,0.5428,0.0002579505671747029,0.009762242436408997
32,0.11614352791897349,2.496861723661423,0.545,0.00030634121503680944,0.007181599736213684
33,0.11612608205728434,2.4824548184871675,0.5513,0.00025477760937064886,0.008621607907116413
34,0.1128276262835071,2.4865824246406554,0.5529,0.00027907307958230376,0.008584597148001194
