,gradient_norm_on_full_trainset,loss_on_full_trainset
245,5.862333599397614e-06,0.3976729151520988
246,5.6573361356302225e-06,0.3976729151207604
247,5.45950796684904e-06,0.3976729150915756
248,5.268598307459158e-06,0.39767291506439606
249,5.084365148292766e-06,0.3976729150390841
250,4.9065749493431e-06,0.3976729150155114
251,4.7350023430713635e-06,0.39767291499355856
252,4.569429848176216e-06,0.3976729149731141
253,4.409647593428563e-06,0.3976729149540744
254,4.255453051191017e-06,0.39767291493634294
255,4.106650780263324e-06,0.39767291491983003
256,3.963052177716631e-06,0.39767291490445167
257,3.824475239545983e-06,0.39767291489012996
258,3.690744329590562e-06,0.39767291487679235
259,3.56168995656689e-06,0.3976729148643712
260,3.4371485589945868e-06,0.3976729148528034
261,3.316962297619306e-06,0.39767291484203054
262,3.2009788550443472e-06,0.3976729148319979
263,3.089051242539619e-06,0.39767291482265466
264,2.9810376134248106e-06,0.3976729148139534
265,2.876801083198377e-06,0.3976729148058499
266,2.7762095557449797e-06,0.39767291479830325
267,2.67913555589446e-06,0.39767291479127503
268,2.5854560675526924e-06,0.3976729147847299
269,2.495052377749101e-06,0.39767291477863437
270,2.407809926041849e-06,0.39767291477295774
271,2.323618159136447e-06,0.3976729147676711
272,2.2423703907598816e-06,0.3976729147627477
273,2.163963666266637e-06,0.3976729147581626
274,2.0882986320897996e-06,0.3976729147538926
275,2.0152794097885993e-06,0.3976729147499159
276,1.9448134743920674e-06,0.39767291474621236
277,1.876811537061522e-06,0.3976729147427634
278,1.8111874319533686e-06,0.3976729147395514
279,1.7478580068733949e-06,0.39767291473656
280,1.6867430178471456e-06,0.3976729147337743
281,1.6277650274189122e-06,0.39767291473118005
282,1.570849306444401e-06,0.3976729147287638
283,1.515923739334288e-06,0.3976729147265137
284,1.4629187326624568e-06,0.39767291472441824
285,1.4117671268614924e-06,0.3976729147224667
286,1.3624041111565281e-06,0.39767291472064925
287,1.3147671413797442e-06,0.3976729147189567
288,1.2687958606559108e-06,0.3976729147173804
289,1.22443202293012e-06,0.3976729147159124
290,1.1816194191004036e-06,0.39767291471454536
291,1.1403038057947901e-06,0.39767291471327215
292,1.1004328365756222e-06,0.39767291471208643
293,1.061955995662663e-06,0.39767291471098226
294,1.0248245337874737e-06,0.39767291470995386
295,9.88991406532827e-07,0.39767291470899613
296,9.544112145938005e-07,0.3976729147081042
297,9.210401462933646e-07,0.3976729147072736
298,8.888359220849909e-07,0.3976729147065001
299,8.577577409039708e-07,0.3976729147057796
