iteration,gradient_norm_on_full_trainset_avg,loss_on_full_trainset_avg
0,0.3304516048162326,0.6925392047011352
1,0.3290942307776509,0.690877516364192
2,0.32739710490819796,0.6888088709628061
3,0.3257232706361122,0.6867780117244747
4,0.3239608462253002,0.6846498875846674
5,0.3223809078666757,0.682750786313143
6,0.3208377951968389,0.6809034435345489
7,0.31931130765438553,0.6790838393924277
8,0.31777812776292114,0.6772633811537061
9,0.31625889258641104,0.675466705067258
10,0.3147378166582394,0.6736750796008233
11,0.31328292431687926,0.6719682974452857
12,0.31197485948226567,0.670438986568719
13,0.31065561095176253,0.6689016641744036
14,0.30933922540274117,0.6673725904269165
15,0.30810490443411054,0.6659438302210867
16,0.306927645364781,0.664585409145746
17,0.3057762646669667,0.6632605128432354
18,0.304594487708146,0.661904255323823
19,0.3034903592364814,0.6606407629755248
20,0.3024639483643814,0.6594694349799377
21,0.3015114137303587,0.6583850527189832
22,0.3005296138712653,0.6572697026053271
23,0.2995587981226019,0.6561694620048107
24,0.29864210714325645,0.655132893308298
25,0.29772122516473265,0.6540940339879688
26,0.29690198354817715,0.6531715296706437
27,0.29612634690226664,0.6523002096982358
28,0.2952926659251425,0.6513651443331189
29,0.29447714152041216,0.6504523068119776
30,0.2936786735633945,0.6495605049061542
31,0.2929880420605534,0.6487900052156225
32,0.2923269490402668,0.6480538370878587
33,0.29155488600088253,0.6471953414316296
34,0.29093690820674545,0.6465093423424424
35,0.29035007761739384,0.6458591234265776
36,0.28975492944893677,0.6452003446314534
37,0.28918171115358043,0.6445664696013182
38,0.288603368283733,0.6439280117432707
39,0.28802465001538086,0.6432899291104369
40,0.2874890321490519,0.6427000285263849
41,0.2869747003828862,0.6421342928490563
42,0.2864928001452839,0.6416045674172719
43,0.2859389328717782,0.6409967989800011
44,0.28540137603538157,0.6404076644811274
45,0.2848836158843665,0.6398405222750386
46,0.28451963591689555,0.6394420836279845
47,0.2840750419764194,0.6389563371227645
48,0.2836045974924959,0.6384428899537976
49,0.28333234299235227,0.6381459986358982
50,0.28295279481272356,0.6377324981067651
51,0.28246602280751787,0.6372025024673618
52,0.2820749787621157,0.6367770311221193
53,0.2817301973963127,0.6364019162288285
54,0.2814806980419996,0.6361309392402484
55,0.2811447335349059,0.635766383741621
56,0.2807995981666517,0.6353918380159438
57,0.2804363958039956,0.6349981477645317
58,0.28012541294700843,0.6346611896399144
59,0.27990904859047927,0.6344267241603251
60,0.2796008766675745,0.6340933061817695
61,0.2793274837554487,0.633797790296659
62,0.2790409595287231,0.6334881017638851
63,0.2787469378485671,0.6331705109520422
64,0.27850067846988785,0.6329044793637688
65,0.27825043014514506,0.6326346425057243
66,0.27800055653990824,0.6323652590295707
67,0.2777119249588248,0.6320543073756735
68,0.27746514901178854,0.6317882804022487
69,0.2771737590884368,0.631474314780897
70,0.27688124398686076,0.6311595043049139
71,0.27660645919746435,0.6308641302577433
72,0.2763675153107181,0.6306073135839939
73,0.2761427893781655,0.6303658535456742
74,0.2758607778042733,0.630063265898104
75,0.2756085625208182,0.6297925557494979
76,0.27533796865070737,0.629502582800113
77,0.2750823953632079,0.6292288731513365
78,0.2748632425769104,0.6289940873512573
79,0.2745864644913462,0.6286979203380971
80,0.27437631444870414,0.6284729091544459
81,0.274187975111747,0.6282713538679956
82,0.27401480352347013,0.6280859963365466
83,0.2737499158831527,0.6278028911886534
84,0.2735247732663948,0.6275623791326619
85,0.27334952956917613,0.6273752218560713
86,0.2731126616296118,0.6271221478705425
87,0.272873054247754,0.6268667923934617
88,0.27269256988239443,0.6266746614416028
89,0.27241943465702423,0.626383220053051
90,0.2721584306103305,0.6261054218369504
91,0.27193577952119763,0.6258686890373927
92,0.271764817002187,0.6256864817906358
93,0.27156178734944125,0.6254705959659672
94,0.2713662958940641,0.6252630559154773
95,0.27114984680004894,0.6250329132751731
96,0.2709600686338536,0.6248309499772856
97,0.27075012834251055,0.6246076545284731
98,0.2705346541575758,0.6243788954670986
99,0.27035635252366497,0.6241896875402428
100,0.27022117049898564,0.6240462442983755
101,0.26999913996334923,0.6238111734528708
102,0.2697965952262355,0.6235965117133995
103,0.26957493503712415,0.6233613591609174
104,0.26939050745314336,0.6231661110984459
105,0.2691208184083598,0.6228807826784117
106,0.2688466141129039,0.622590831698274
107,0.2686762643632964,0.6224104345141868
108,0.26842266857931996,0.6221424208674875
109,0.2682431023228744,0.6219527891872891
110,0.26807546406709615,0.6217756332009945
111,0.2678853232380086,0.6215748351706167
112,0.2677234537879134,0.6214039233929324
113,0.2675327064313269,0.6212022588897643
114,0.26731316708949104,0.6209707921416573
115,0.2671485164134567,0.6207974047298412
116,0.26690726263621606,0.6205429146117023
117,0.2667596312224826,0.6203874779976967
118,0.2665245354672802,0.6201400041906812
119,0.2662333578426305,0.6198336561378411
120,0.26600638033468604,0.6195953625048678
121,0.2658146322881812,0.6193935214204462
122,0.2656368947554882,0.6192069560045774
123,0.2654247295994723,0.6189845730677962
124,0.26521326662862105,0.6187619215625673
125,0.2650553680739866,0.6185957991833758
126,0.2648190674652541,0.6183481625972796
127,0.2645482094740529,0.6180639556203269
128,0.26430097733508306,0.6178049082036456
129,0.2640551315681373,0.617547466883111
130,0.26383084924252165,0.6173120626356283
131,0.2635849741294041,0.6170546014603199
132,0.2633832639949918,0.6168436889585585
133,0.2633076178120324,0.6167643552272277
134,0.26314078695940757,0.6165899711537142
135,0.2628922796793758,0.6163304554925936
136,0.26265646115876107,0.6160837353704358
137,0.26237017207150715,0.6157843964994272
138,0.2621168664540363,0.6155201678282072
139,0.2619050589190097,0.6152994317833007
140,0.2616965345587083,0.615081923490191
141,0.26147186370917835,0.6148479584309794
142,0.2613310306878046,0.6147010631468398
143,0.26115900513907475,0.6145217768800195
144,0.2608823358378429,0.6142333968659068
145,0.2606896716672795,0.6140325686247563
146,0.26045980763371335,0.6137935528572005
147,0.26019699244044847,0.6135198254551034
148,0.26000791408151186,0.6133233187153151
149,0.2598373804889178,0.6131464952425723
150,0.2595761498128005,0.6128748299719604
151,0.2593470732313313,0.6126373659733851
152,0.25922964615816924,0.6125155784563842
153,0.2589730592144315,0.61224895149536
154,0.2586739424960787,0.6119386601009196
155,0.25853598026790303,0.6117958157870493
156,0.25831016753790903,0.6115621055047685
157,0.25804417508171085,0.6112866605997986
158,0.25780681969833674,0.6110408437740262
159,0.25761907630989533,0.610846601932975
160,0.25739131027640894,0.610611149940598
161,0.25725292217351153,0.6104676633060551
162,0.25699734287465653,0.6102032018611879
163,0.25687517895878553,0.6100769600129652
164,0.2566896828584442,0.6098853894076062
165,0.2564740726906465,0.6096626382343845
166,0.2563741518430062,0.6095599567726042
167,0.2561659326382536,0.6093450642103528
168,0.25601037386257514,0.6091847665205053
169,0.25584985193562837,0.6090190694046088
170,0.255646522097997,0.6088091377418474
171,0.25539880501874,0.6085535990286538
172,0.2551540966991608,0.6083017250480908
173,0.25502133082818546,0.6081653463771473
174,0.2548152739299837,0.607953292897758
175,0.2546076262661713,0.6077392542640043
176,0.2543759156175533,0.6075009634391211
177,0.25417782371146896,0.6072978219196061
178,0.25394703267718266,0.6070605424567304
179,0.25364380913003226,0.6067487127902619
180,0.2534736725943379,0.6065741958720228
181,0.25339782248494724,0.6064962414259518
182,0.2531940677292321,0.606287275668022
183,0.25306194674186466,0.6061517540179436
184,0.2528323596082203,0.6059157977381111
185,0.2525442498578594,0.6056207077540576
186,0.25241140766819603,0.6054849140125946
187,0.25223315909116417,0.60530195585616
188,0.2519552632863937,0.6050171415454834
189,0.2518030176317075,0.604861198769436
190,0.25163484187021573,0.6046890288244255
191,0.2513743111214708,0.6044227596785634
192,0.25113823206572516,0.604182099683218
193,0.2509576978541328,0.6039976304309336
194,0.25075713559766155,0.6037925063294474
195,0.2505324451683977,0.6035628125932027
196,0.2502975459456389,0.6033231284696825
197,0.2500988054434011,0.6031203331807566
198,0.24990654697847192,0.6029238651817239
199,0.24969479459466554,0.602707674438792
200,0.24955009830296224,0.6025603711321313
201,0.24942657879221652,0.6024349523102932
202,0.2491752071006022,0.6021792431582524
203,0.24892281086359802,0.601922139891035
204,0.24875840006831257,0.6017546582268305
205,0.24856818470631126,0.6015613345348007
206,0.24836730825703696,0.6013568237346851
207,0.248108202487518,0.601093422721426
208,0.2479193309117017,0.6009011436204046
209,0.24773670527334424,0.6007158046039809
210,0.2475774966629893,0.6005537316887737
211,0.2474514521180538,0.6004252755505557
212,0.24723701422350167,0.6002076793548226
213,0.24706090983775345,0.6000287440043937
214,0.24681358161256095,0.5997782239658749
215,0.24664981934218833,0.5996122933017337
216,0.24648011282509974,0.5994401817823771
217,0.24623727538937726,0.5991934665008133
218,0.24607465142361995,0.5990288751401569
219,0.24584425291509815,0.5987957093888512
220,0.24561815500380663,0.5985672118735643
221,0.24539599708721338,0.5983423816053718
222,0.24510635307198966,0.5980494977071489
223,0.24499640575477713,0.5979384412128417
224,0.2448512170871022,0.5977910404031639
225,0.24466585511707167,0.5976042435009727
226,0.24443631135710886,0.5973726779340205
227,0.24420256818134667,0.5971358084905913
228,0.2440788609171189,0.5970103112010217
229,0.2438656822691116,0.5967958826125025
230,0.24364679873304096,0.5965747467395599
231,0.24342366646950087,0.5963490580746631
232,0.24321638621012828,0.5961406798254671
233,0.24302297920976035,0.5959460100047134
234,0.24289495530725239,0.5958168933475423
235,0.24276189574881302,0.5956826394339032
236,0.24257682727835375,0.5954960609513453
237,0.24235461734228542,0.5952720611846367
238,0.24209229473431243,0.5950088508558997
239,0.24184334947227315,0.5947587155181134
240,0.24164261211615973,0.594556872251585
241,0.24140741118354686,0.5943200173693477
242,0.2412529028807674,0.5941656299388683
243,0.24108939325246476,0.5940020356863874
244,0.2409184487339342,0.5938303388572774
245,0.2407271238342972,0.5936381576906128
246,0.24053155327386952,0.5934416522607631
247,0.24027654591015848,0.5931856033965441
248,0.24004439896784888,0.5929529426327914
249,0.23982306794447023,0.592731203192508
250,0.23962871366978872,0.5925365606038664
251,0.23939681700388915,0.5923042434086595
252,0.2392191278280295,0.5921268381936148
253,0.23910422205973464,0.5920118495528399
254,0.23893878825077586,0.5918462923246155
255,0.23880227654208377,0.5917092174577454
256,0.23862064220544676,0.5915278831260948
257,0.23846847508316574,0.591375719395204
258,0.23827929314673574,0.5911866465837899
259,0.23809280868813348,0.5910011950726797
260,0.23797523875948093,0.590883343375883
261,0.23781713589804077,0.5907250635087283
262,0.23765009926593358,0.590558564183924
263,0.23746871936607628,0.590377240048621
264,0.2372303334597894,0.5901390446078765
265,0.23702276598716887,0.5899326520801019
266,0.23680529850964446,0.5897151121292183
267,0.23662772325649492,0.5895371657184174
268,0.23646952557867307,0.589380594714483
269,0.23631789954899304,0.589230120633333
270,0.23616083861318418,0.5890736971363242
271,0.23591253980810936,0.5888269546656729
272,0.23567794408802467,0.588593487374522
273,0.23547286822996674,0.5883899818113202
274,0.2352956474792693,0.5882136795906623
275,0.23513560085788088,0.5880549686042603
276,0.23489327703998836,0.5878139644181887
277,0.23465369807366065,0.5875763358934006
278,0.23448771487968184,0.5874112204131792
279,0.23438074793945857,0.5873042722009432
280,0.2341794942102626,0.5871050633229935
281,0.23400863139343564,0.5869355290329895
282,0.23383265679744508,0.586760821498391
283,0.23360357909789317,0.586533640267227
284,0.23345598268155054,0.5863876552195908
285,0.23328233751130983,0.5862155360571389
286,0.23308548901524578,0.5860208537826221
287,0.23291514851174155,0.5858515046424111
288,0.2327808043681936,0.5857182688813305
289,0.2324923851994273,0.5854333020938873
290,0.23230812216868943,0.5852515727823404
291,0.23222358677077964,0.5851684254977888
292,0.23203236499891905,0.5849793335021234
293,0.23186235481476614,0.5848111866667803
294,0.2317207669862527,0.5846715708966844
295,0.23153816745641187,0.5844909735912573
296,0.2313595913911501,0.5843136171018958
297,0.23109946182245697,0.5840569523775359
298,0.2308934232036316,0.5838534084795187
299,0.23077723040237103,0.5837387875028768
