FULL_gradient_norm_n=1,FULL_gradient_norm_n=2,FULL_gradient_norm_n=8,FULL_gradient_norm_n=16,FULL_gradient_norm_n=128,FULL_gradient_norm_n=512
0.31952050167689044,0.3256515025312388,0.33002847538281843,0.33068510552722896,0.3311102873668277,0.33156798284635064
0.31545298841471453,0.32067134481249926,0.3255126180359081,0.32732600068441686,0.329968554997445,0.33112259238126496
0.3110295041935219,0.3162641633857113,0.3204548915917951,0.32252459893239677,0.32733653208227476,0.32984488184042215
0.30633521889089554,0.31209107365360983,0.31621436505750833,0.3176800769241883,0.32294996688493083,0.32715848430723937
0.30212411235316966,0.3073732138663722,0.3120286640457269,0.31360564142013747,0.3171223682268776,0.32265572203299686
0.2980850673084584,0.3030800027870597,0.3079286260142703,0.30981466502259264,0.3106976047521533,0.31646279322053095
0.2941737229419419,0.29893836062026,0.3038573158354655,0.3061018295630869,0.3047136509169149,0.3091547988437017
0.2910221538769238,0.2947765643730735,0.29974848146164196,0.30232906198123943,0.299753610247804,0.3017093472448619
0.28638732148258106,0.2905280109712925,0.2956505555259289,0.2984764486847748,0.29548850181456393,0.2949719929138103
0.28279057517344225,0.2869571808663593,0.29181711532993043,0.2946471254550531,0.2915781896783096,0.289500560432087
0.27897842378410004,0.2828629983414244,0.28777474981481493,0.29086351291802826,0.28778277076052866,0.28490501306544563
0.2756644066395752,0.27903598613802677,0.28392180376488985,0.28717148293450306,0.2840940907201559,0.2808764418628212
0.27211843548824166,0.27518987415715435,0.28003488236576846,0.2836229830579357,0.2804149233046787,0.2771654543127417
0.26832388641551524,0.27151558127771525,0.27618596294002296,0.2800725155786293,0.27679476555164917,0.27361254749748254
0.26446176662657916,0.2680188530930598,0.27254958253407724,0.2765949462250201,0.27318365767951974,0.2701508073544423
0.2615579302630117,0.26462592813250474,0.26904677482935635,0.2731693462843044,0.2696044273787589,0.2667511677991489
0.25830491077635653,0.2608699545788749,0.2656301283738155,0.2697182615694404,0.2661123748680906,0.26338944505071726
0.2542825686843068,0.25715800735972544,0.26221125150594354,0.266297720280923,0.26261828688085925,0.26005067390646874
0.25142326163487927,0.2537585949218514,0.25871947079176183,0.2628625794814421,0.25922778652929623,0.25675247950888774
0.2487309277914116,0.2505856491280241,0.2552641040304267,0.25969946216920536,0.2558640215200684,0.253480630648629
0.2455185916233864,0.24750192934861637,0.2519094681319767,0.256543651594347,0.252569648614725,0.25026461287779234
0.24256392035242344,0.24423078845092713,0.24855791303912916,0.2534624715015889,0.24931255791639095,0.24709490722537722
0.23972747873036343,0.24107051756359804,0.24540085532297576,0.2504444894274643,0.24616965287885145,0.2439832821986817
0.2367379243542131,0.23776868216896413,0.2423211374932726,0.24744192057783232,0.2430298878570597,0.24092902265185284
0.23420479801095112,0.2347788620073685,0.23915653624178,0.244464150697356,0.23996526924555336,0.23791543055091025
0.23132231026195246,0.2318360918234989,0.23622316293268045,0.24155040481479248,0.23696951978604214,0.2349527513223416
0.22815527146621814,0.22887505719610912,0.23334871328411017,0.23871695049002198,0.2340215004572525,0.23205213766576893
0.22504723902044155,0.22604212539894075,0.2303922858949802,0.23597592082961422,0.23111980267598461,0.2292039934773206
