iteration,gradient_norm_on_full_trainset_avg,loss_on_full_trainset_avg
0,0.33052522555816644,0.6926295792215603
1,0.329958869520113,0.6919353271808333
2,0.3291650759492565,0.6909641340732845
3,0.32845008912206863,0.6900912116131204
4,0.32772638224894174,0.6892094214855794
5,0.3270099011692515,0.6883381592843181
6,0.32631141838634525,0.6874904491783486
7,0.325617150260903,0.6866494630460254
8,0.32493614355273037,0.6858261028679609
9,0.3242597233610848,0.6850097995310902
10,0.32359536901297326,0.6842095280729688
11,0.32293656731777454,0.6834173687874939
12,0.3222865498831919,0.6826371341215911
13,0.32164293008215017,0.6818659356916886
14,0.32100224461081805,0.6810995752725056
15,0.3203657374637191,0.6803395342269645
16,0.31973999535096526,0.6795936239725858
17,0.3191192908540584,0.6788549072656906
18,0.3185129761625539,0.6781345064984854
19,0.31790756279891735,0.6774163246078155
20,0.3173096207134654,0.6767081429349924
21,0.31671897097062085,0.6760096717064203
22,0.3161365909629062,0.6753220482092128
23,0.31556071610396874,0.6746431248346195
24,0.3149921888216962,0.6739739015306012
25,0.31444056485066474,0.6733254766700463
26,0.31388608241170457,0.6726746415076699
27,0.3133502289330397,0.6720465463949523
28,0.3128179374389935,0.671423504024413
29,0.3122877297683151,0.6708037389493898
30,0.31177062791365856,0.6702001051205417
31,0.31125420830258593,0.6695980613598118
32,0.310749430091098,0.6690103390125499
33,0.3102543118064976,0.6684346151838283
34,0.30976544956366814,0.6678668913248007
35,0.30928749573954506,0.6673124958605506
36,0.30882133266380984,0.6667724057381275
37,0.30835499648495934,0.6662327751746796
38,0.3079042628360283,0.6657117885613426
39,0.30745690582370566,0.6651952730621298
40,0.3070186173673592,0.664689807850355
41,0.306590469376456,0.6641965476198406
42,0.30616164663616363,0.6637030458202281
43,0.3057457094388172,0.6632248655413617
44,0.3053336521339972,0.6627516584552707
45,0.3049346165349171,0.6622938488509851
46,0.3045404577816454,0.6618420913795308
47,0.3041577958863426,0.6614039120278339
48,0.30377182084431725,0.6609623506740444
49,0.30339780539959593,0.6605348843841816
50,0.3030347446639282,0.660120312077383
51,0.30267873911256515,0.6597141533865728
52,0.3023229067826273,0.659308529898316
53,0.3019803324509634,0.6589183691016347
54,0.3016423756321674,0.6585337916134537
55,0.30131333020301937,0.6581596506415865
56,0.300989566938636,0.6577917858445026
57,0.3006739213569705,0.6574334345043431
58,0.30036204379167886,0.6570796172197853
59,0.30005886345732036,0.6567359252986172
60,0.2997570198265911,0.6563940136363811
61,0.29946487187923043,0.656063316680662
62,0.2991703070900058,0.6557301009345637
63,0.29888916350963046,0.6554123092024333
64,0.29861017795657313,0.6550971596814221
65,0.29834149769153057,0.6547938586133518
66,0.2980723158467363,0.6544901630491952
67,0.2978113559557768,0.6541959430195947
68,0.2975531670247795,0.6539050095027052
69,0.2973036382510879,0.6536240291852469
70,0.29705215850815586,0.653341012447767
71,0.2968107646062313,0.6530695029368302
72,0.2965707936729085,0.6527997341557489
73,0.2963396629460831,0.6525400529061851
74,0.2961115772746103,0.652283931563972
75,0.29588908269987624,0.6520342150611314
76,0.29566812553296207,0.6517863673081794
77,0.2954572198720584,0.6515499138288601
78,0.29524213358483997,0.6513088789772796
79,0.2950378265412996,0.6510800665233969
80,0.29482878847499505,0.6508460426435683
81,0.29462806076359727,0.6506214374427501
82,0.2944301953034114,0.6504001451004606
83,0.29424204677516774,0.6501897931758374
84,0.29405464412726234,0.6499803748645511
85,0.2938628709126382,0.6497661652996904
86,0.29368228457182094,0.6495645458994721
87,0.293498036936229,0.6493589154605939
88,0.2933250261988407,0.6491659168762152
89,0.29314806414613614,0.6489685899575734
90,0.292979620894583,0.6487808355194523
91,0.2928115610105815,0.6485935637545792
92,0.292649543252121,0.6484131057266489
93,0.29248187382508345,0.64822641217963
94,0.2923221588217154,0.6480486671242001
95,0.2921617889369772,0.6478702295752173
96,0.292006703026774,0.6476977637725401
97,0.2918500193409793,0.6475235601220531
98,0.2917023896736838,0.6473594898513622
99,0.2915522291797957,0.6471926649101087
100,0.2914047418186633,0.6470288624416896
101,0.29126116287289017,0.6468694518975093
102,0.2911153956021881,0.6467076690848192
103,0.29097363508745394,0.6465503855822045
104,0.29083319965393334,0.6463946432305069
105,0.29069664560598185,0.6462432376035162
106,0.29056151232530464,0.6460934462210783
107,0.29042853259041357,0.6459460924286239
108,0.29029435796748193,0.6457974724980089
109,0.2901671430313379,0.6456565939762395
110,0.29003663798594037,0.6455121112255376
111,0.2899110779175891,0.6453731254893417
112,0.28979009280015766,0.6452392693148676
113,0.28966467055612477,0.6451005205654547
114,0.2895492697660216,0.6449728932788015
115,0.2894264433042252,0.6448370849115576
116,0.28930400696210556,0.644701759902884
117,0.28918808265748025,0.6445736547393353
118,0.28907115461974797,0.644444495247353
119,0.28895366610121986,0.6443147447305457
120,0.28883724260457855,0.6441862160181654
121,0.2887192744227096,0.6440560095244325
122,0.28860778801757636,0.6439329733062831
123,0.2884987349263325,0.6438126728875839
124,0.2883860334370051,0.6436883684014381
125,0.2882758492712921,0.6435668826666678
126,0.2881673714364842,0.6434472955580162
127,0.2880608247093116,0.6433298576729245
128,0.2879516112042349,0.6432095242041587
129,0.2878466787186439,0.6430939243462503
130,0.28773728436975887,0.6429734514528594
131,0.2876321996007115,0.6428577487114058
132,0.28753270851156376,0.6427482265328682
133,0.2874283679671097,0.6426333808715203
134,0.2873312206972357,0.6425264925996512
135,0.28722983049380113,0.6424149623774229
136,0.28712468696288446,0.6422993245612252
137,0.2870245269963587,0.642189195798887
138,0.2869261461485919,0.6420810355688006
139,0.28682544730280474,0.6419703495046036
140,0.2867310427710874,0.6418665979336244
141,0.28663243689049056,0.6417582730190025
142,0.2865375049852543,0.6416539980560363
143,0.28644223302905714,0.6415493806670508
144,0.28634566365520314,0.6414433347583183
145,0.28625777283740117,0.6413468790401105
